TX_ORIGEN|TABLA_ORIGEN|TABLA_ORIGEN1|EMPRESA|NUCTA|CEDESTIN|FECONT|DEBE|HABER|SALDO_INICIAL
HA32|HADV0030|HADV0120|13.|196095001828   |17.|2026-09-14|.00|.00|-4849302.78
HA32|HADV0030|HADV0120|13.|196095001829   |17.|2026-09-14|.00|.00|58355701.96
HA32|HADV0030|HADV0120|13.|196095001838   |17.|2026-09-14|.00|.00|-2194467786.27
HA32|HADV0030|HADV0120|13.|196095001845   |17.|2026-09-14|.00|.00|-60860.00
HA32|HADV0030|HADV0120|13.|299095109      |17.|2026-09-14|.00|.00|.00
HA32|HADV0030|HADV0120|13.|299095240      |17.|2026-09-14|.00|.00|6983820.60
HA32|HADV0030|HADV0120|13.|299095241      |17.|2026-09-14|.00|.00|.00
HA32|HADV0030|HADV0120|13.|299095302      |17.|2026-09-14|.00|.00|.00
HA32|HADV0030|HADV0120|13.|299095303      |17.|2026-09-14|.00|.00|.00
HA32|HADV0030|HADV0120|13.|299095408      |17.|2026-09-14|.00|.00|.00
HA32|HADV0030|HADV0120|13.|299095409      |17.|2026-09-14|.00|.00|.00
HA32|HADV0030|HADV0120|13.|299095837      |17.|2026-09-14|.00|.00|.00
HA32|HADV0030|HADV0120|13.|299095866      |17.|2026-09-14|.00|.00|.00
HA32|HADV0030|HADV0120|13.|299095867      |17.|2026-09-14|.00|.00|1620000.00
HA32|HADV0030|HADV0120|13.|299095868      |17.|2026-09-14|.00|.00|.00
HA32|HADV0030|HADV0120|13.|299095875      |17.|2026-09-14|.00|.00|-7040263.63
HA32|HADV0030|HADV0120|13.|299095882      |17.|2026-09-14|.00|.00|.00
HA32|HADV0030|HADV0120|13.|299095883      |17.|2026-09-14|.00|.00|.00
HA32|HADV0030|HADV0120|13.|299095888      |17.|2026-09-14|.00|.00|.00
